bibitem,part,compared_game_type,measured_construct,effect_coef,effect_size,test,test_stat
"Happ, C., Melzer, A., & Steffgen, G. (2015). Like the good or bad guy—Empathy in antisocial and prosocial games. Psychology of Popular Media Culture, 4(2), 80.",A,antisocial game,prosocial behavior (oddawanie długopisów),d,0.7,chi=5.52 p<0.05,chi
"Happ, C., Melzer, A., & Steffgen, G. (2015). Like the good or bad guy—Empathy in antisocial and prosocial games. Psychology of Popular Media Culture, 4(2), 81",B,antisocial game,redukacja zach. antyspołecznego,d,0.43,f=3.47 p<0.05,f
"Lim, J. S., & Baba, A. (2015). Research on Prosocial Behaviors in Video Games: Content Analysis and Empirical Study.",A,NA,prosocial tendencies measure - survey,r,0.322,NA,r
"Coyne, S. M., Jensen, A. C., Smith, N. J., & Erickson, D. H. (2016). Super Mario brothers and sisters: Associations between coplaying video games and sibling conflict and affection. Journal of adolescence, 47, 48-59.",A,NA,Sibling Relationship Inventory - sibling affecion,beta,-0.06,NA,NA
"Coyne, S. M., Jensen, A. C., Smith, N. J., & Erickson, D. H. (2016). Super Mario brothers and sisters: Associations between coplaying video games and sibling conflict and affection. Journal of adolescence, 47, 48-59.",B,NA,Sibling Relationship Inventory - sibling conflict,beta,-0.04,NA,NA
"Parsons, S., Karakosta, E., Boniface, M., & Crowle, S. (2019). Prosocial games for inclusion: Interaction patterns and game outcomes for elementary-aged children. International Journal of Child-Computer Interaction, 22, 100142.",A,pre-post test,prosocial behavior - zachowania w grze,NA,NA,chi=9.20,chi
"Jin, Y., & Li, J. (2017). When newbies and veterans play together: The effect of video game content, context and experience on cooperation. Computers in Human Behavior, 68, 556-563.",A,NA,prosocial behavior - the Brief pro-social Scale (Prot et al.2014),beta,0.25,t=2.57 p=,t
"Jin, Y., & Li, J. (2017). When newbies and veterans play together: The effect of video game content, context and experience on cooperation. Computers in Human Behavior, 68, 556-563.",B,NA,prosocial behavior - the Brief pro-social Scale (Prot et al.2014),beta,0.37,t=1.94 p=0.05,t
"Jin, Y., & Li, J. (2017). When newbies and veterans play together: The effect of video game content, context and experience on cooperation. Computers in Human Behavior, 68, 556-563.",C,solitary,prosocial behavior - social dilemma task,eta 2,0.28,f=35.34 p<0.001,f
"Kaufman, G., & Flanagan, M. (2015). A psychologically “embedded” approach to designing games for prosocial causes. Cyberpsychology: Journal of Psychosocial Research on Cyberspace, 9(3).",A,control,social identity complexity questionnaire,NA,NA,f=4.87,f
"Kaufman, G., & Flanagan, M. (2015). A psychologically “embedded” approach to designing games for prosocial causes. Cyberpsychology: Journal of Psychosocial Research on Cyberspace, 9(3).",B,control,"The Internal Motivation to Respond without Prejudice Scale (Plant & Devie, 1998) - bias against social outgrups - redukcja uprzedzeń na skutek grania",NA,NA,f=5.11,f
"Kaufman, G., & Flanagan, M. (2015). A psychologically “embedded” approach to designing games for prosocial causes. Cyberpsychology: Journal of Psychosocial Research on Cyberspace, 9(3).",C,control,parspetive taking - as average level of perceived sincerity,NA,NA,NA,NA
"Boduszek, D., Debowska, A., Jones, A. D., Ma, M., Smith, D., Willmott, D., ... & Kirkman, G. (2019). Prosocial video game as an intimate partner violence prevention tool among youth: A randomised controlled trial. Computers in Human Behavior, 93, 260-266.",A,control,None in Tree Victim Responsiveness Assessment - empatia poznawcza,NA,NA,f=2.85,f
"Boduszek, D., Debowska, A., Jones, A. D., Ma, M., Smith, D., Willmott, D., ... & Kirkman, G. (2019). Prosocial video game as an intimate partner violence prevention tool among youth: A randomised controlled trial. Computers in Human Behavior, 93, 260-266.",B,control,None in Tree Victim Responsiveness Assessment - empatia afektywna,NA,NA,f=0.69,f
"Cross, H. K. (2017). The Effects of Video Games and Religious Reminders on Prosociality.",A,control,prosocial behavior - hours donated volunteering,r,0.08,sd=1.6,r
"Liu, Y., Teng, Z., Lan, H., Zhang, X., & Yao, D. (2015). Short-term effects of prosocial video games on aggression: an event-related potential study. Frontiers in behavioral neuroscience, 9, 193.",A,control,czas reakcji ( CRTT - The Competitive Reaction Time Task),eta 2,0.03,f=1.31 p=0.26,f
"Liu, Y., Teng, Z., Lan, H., Zhang, X., & Yao, D. (2015). Short-term effects of prosocial video games on aggression: an event-related potential study. Frontiers in behavioral neuroscience, 9, 194",B,control,redukcja zach antyspoł (CRTT - The Competitive Reaction Time Task),eta 3,0.08,f=4.02 p=0.051,f
"Teng, Z., Nie, Q., Liu, Y., & Guo, C. (2018). Is prosocial video game exposure related to prosociality? An ERP study based on a prosocial help needed decision task. Computers in Human Behavior, 79, 30-39.",A,control,prosocial behavior - datki,NA,NA,NA,NA
"Teng, Z., Nie, Q., Liu, Y., & Guo, C. (2018). Is prosocial video game exposure related to prosociality? An ERP study based on a prosocial help needed decision task. Computers in Human Behavior, 79, 30-39.",B,control,prosocial help needed decision task; czas reakcji,NA,NA,NA,NA
"Andrews, M. W. (2016). Investigating prosocial gameplay and prosocial self-concept.",A,control,prosocial behavior - Tangram Help/Hurt Task,NA,NA,NA,NA
"van’t Riet, J., Meeuwes, A. C., van der Voorden, L., & Jansz, J. (2018). Investigating the effects of a persuasive digital game on immersion, identification, and willingness to help. Basic and Applied Social Psychology, 40(4), 180-194.",A,control,willingness to help,eta 2,0.025,f=1.10,f
"van’t Riet, J., Meeuwes, A. C., van der Voorden, L., & Jansz, J. (2018). Investigating the effects of a persuasive digital game on immersion, identification, and willingness to help. Basic and Applied Social Psychology, 40(4), 180-194.",B,control,willingness to help,eta 2,0.019,f=0.86,f
"van’t Riet, J., Meeuwes, A. C., van der Voorden, L., & Jansz, J. (2018). Investigating the effects of a persuasive digital game on immersion, identification, and willingness to help. Basic and Applied Social Psychology, 40(4), 180-194.",C,control,willingness to help,eta 2,0.024,f=3.94,f
"Roussos, G., & Dovidio, J. F. (2016). Playing below the poverty line: Investigating an online game as a way to reduce prejudice toward the poor. Cyberpsychology: Journal of Psychosocial Research on Cyberspace, 10(2).",A,control,epathetic concer,d,1.1,t=2.9,t
"Wright, J. C., Weissglass, D. E., & Casey, V. (2020). Imaginative Role-Playing as a Medium for Moral Development: Dungeons & Dragons Provides Moral Training. Journal of Humanistic Psychology, 60(1), 99-129.",A,control,"The Personal Interest shema - part of DIT-2 (Bebeau & Thoma, 2003; Rest, Narvaez, Thoma, & Bebeau, 1999)",NA,NA,NA,NA
"Lobel, A. (2016). The Relation Between Gaming and the Development of Emotion Regulation Skills..",A,NA,prosocial behavior - SDQ - the streanghts and Difficulties Questionnaire - w którym jedną z 5 podskal jest właśnie prosocial behavior,beta,0.056,p=0.389,NA
"Parsons, S., & Karakosta, E. (2018). D7. 11-Validation Activities in Operating School Conditions.",A,pre-post test,prosocial behavior - SDQ - Strengh and Difficulties Questionnaire,NA,NA,NA,NA
"Parsons, S., & Karakosta, E. (2018). D7. 11-Validation Activities in Operating School Conditions.",B,pre-post test,prosocial behavior - SDQ - Strengh and Difficulties Questionnaire,NA,NA,NA,NA
"Beene, J. N. (2015). The effect of cooperative gameplay on aggression and prosociality in violent video game play.",A,solitary,prosocial tendency measure - PTM,NA,NA,NA,NA
"Beene, J. N. (2015). The effect of cooperative gameplay on aggression and prosociality in violent video game play.",B,solitary,hastality (reduction),NA,NA,NA,NA
"Najarian, K. M. (2016). The Persuasive Power of Video Game Narratives: Addressing Empathy and Attitudes toward People with Mental Illness.",A,control,"attitudes toward people with mental illness ( niższy wynik - mniej stereotypów i uprzedeń, obrucić skale?)",NA,NA,t=1.1,t
"Wu, Y. (2019). Promoting Behavioral Intentions to Defend Victims of Bullying among College Students with an Interactive Narrative Game.",A,pre-post test,behavioral intention,beta,0.43,p<0.01 se=0.95,NA
"Gordon, M. (2018). Powering Up: Games for Sexual Violence Prevention.",A,pre-post test,reduction in rape acceptanece scale,NA,NA,NA,NA
"Smith, N. J. (2015). Does Video Game Content Matter? An Examination of Two Competing Ideas.",A,NA,prosocial beahavior - 9 itemowy kwestionariusz inspirowany the Inventory of Strengths.,NA,0.07,p<0.05 se=0.0367,NA
"Toppe, T., Hardecker, S., & Haun, D. B. (2019). Playing a cooperative game promotes preschoolers’ sharing with third-parties, but not social inclusion. PloS one, 14(8), e0221092.",A,solitary,sharing (dictator game),beta,0.203,se=0.158 p=0.198,NA
"Toppe, T., Hardecker, S., & Haun, D. B. (2019). Playing a cooperative game promotes preschoolers’ sharing with third-parties, but not social inclusion. PloS one, 14(8), e0221092.",B,cooperetive,piłeczki - social inclusion,NA,NA,NA,NA
"Toppe, T., Hardecker, S., & Haun, D. B. (2019). Playing a cooperative game promotes preschoolers’ sharing with third-parties, but not social inclusion. PloS one, 14(8), e0221092.",C,competitive,freeplay (obserwacja zachowań),NA,NA,NA,NA
"Verheijen, G. P., Stoltz, S. E., van den Berg, Y. H., & Cillessen, A. H. (2019). The influence of competitive and cooperative video games on behavior during play and friendship quality in adolescence. Computers in Human Behavior, 91, 297-304.",A,solitary,prosocial behavior (give-some dilema task),beta,0.24,t=0.39 p>0.05,t
"Verheijen, G. P., Stoltz, S. E., van den Berg, Y. H., & Cillessen, A. H. (2019). The influence of competitive and cooperative video games on behavior during play and friendship quality in adolescence. Computers in Human Behavior, 91, 297-304.",B,competitive,prosocial behavior (give-some dilema task),beta,0.08,t=0.13 p>0.05,t
"Creighton, S., & Szymkowiak, A. (2014). The effects of cooperative and competitive games on classroom interaction frequencies. Procedia-Social and Behavioral Sciences, 140, 155-163.",A,competitive,kooperacja - interaction frequency,NA,NA,f=0.18 p=0.675,f
