bibitem,SMD_R
"Happ, C., Melzer, A., & Steffgen, G. (2015). Like the good or bad guy—Empathy in antisocial and prosocial games. Psychology of Popular Media Culture, 4(2), 80.",0.5444772027137345
"Happ, C., Melzer, A., & Steffgen, G. (2015). Like the good or bad guy—Empathy in antisocial and prosocial games. Psychology of Popular Media Culture, 4(2), 81",0.4165333119931706
"Lim, J. S., & Baba, A. (2015). Research on Prosocial Behaviors in Video Games: Content Analysis and Empirical Study.",0.6802292344933076
"Coyne, S. M., Jensen, A. C., Smith, N. J., & Erickson, D. H. (2016). Super Mario brothers and sisters: Associations between coplaying video games and sibling conflict and affection. Journal of adolescence, 47, 48-59.",NA
"Coyne, S. M., Jensen, A. C., Smith, N. J., & Erickson, D. H. (2016). Super Mario brothers and sisters: Associations between coplaying video games and sibling conflict and affection. Journal of adolescence, 47, 48-59.",NA
"Parsons, S., Karakosta, E., Boniface, M., & Crowle, S. (2019). Prosocial games for inclusion: Interaction patterns and game outcomes for elementary-aged children. International Journal of Child-Computer Interaction, 22, 100142.",0.25070918321053426
"Jin, Y., & Li, J. (2017). When newbies and veterans play together: The effect of video game content, context and experience on cooperation. Computers in Human Behavior, 68, 556-563.",NA
"Jin, Y., & Li, J. (2017). When newbies and veterans play together: The effect of video game content, context and experience on cooperation. Computers in Human Behavior, 68, 556-563.",NA
"Jin, Y., & Li, J. (2017). When newbies and veterans play together: The effect of video game content, context and experience on cooperation. Computers in Human Behavior, 68, 556-563.",1.2134661099511599
"Kaufman, G., & Flanagan, M. (2015). A psychologically “embedded” approach to designing games for prosocial causes. Cyberpsychology: Journal of Psychosocial Research on Cyberspace, 9(3).",1.3801031809985147
"Kaufman, G., & Flanagan, M. (2015). A psychologically “embedded” approach to designing games for prosocial causes. Cyberpsychology: Journal of Psychosocial Research on Cyberspace, 9(3).",0.7529768992209116
"Kaufman, G., & Flanagan, M. (2015). A psychologically “embedded” approach to designing games for prosocial causes. Cyberpsychology: Journal of Psychosocial Research on Cyberspace, 9(3).",0.8315641355267672
"Boduszek, D., Debowska, A., Jones, A. D., Ma, M., Smith, D., Willmott, D., ... & Kirkman, G. (2019). Prosocial video game as an intimate partner violence prevention tool among youth: A randomised controlled trial. Computers in Human Behavior, 93, 260-266.",0.1119998399117008
"Boduszek, D., Debowska, A., Jones, A. D., Ma, M., Smith, D., Willmott, D., ... & Kirkman, G. (2019). Prosocial video game as an intimate partner violence prevention tool among youth: A randomised controlled trial. Computers in Human Behavior, 93, 260-266.",0.4297012499446432
"Cross, H. K. (2017). The Effects of Video Games and Religious Reminders on Prosociality.",0.1605144707810256
"Liu, Y., Teng, Z., Lan, H., Zhang, X., & Yao, D. (2015). Short-term effects of prosocial video games on aggression: an event-related potential study. Frontiers in behavioral neuroscience, 9, 193.",0.32708306794044434
"Liu, Y., Teng, Z., Lan, H., Zhang, X., & Yao, D. (2015). Short-term effects of prosocial video games on aggression: an event-related potential study. Frontiers in behavioral neuroscience, 9, 194",0.5729746940310715
"Teng, Z., Nie, Q., Liu, Y., & Guo, C. (2018). Is prosocial video game exposure related to prosociality? An ERP study based on a prosocial help needed decision task. Computers in Human Behavior, 79, 30-39.",0.21855668244815177
"Teng, Z., Nie, Q., Liu, Y., & Guo, C. (2018). Is prosocial video game exposure related to prosociality? An ERP study based on a prosocial help needed decision task. Computers in Human Behavior, 79, 30-39.",-0.1965489019830221
"Andrews, M. W. (2016). Investigating prosocial gameplay and prosocial self-concept.",-0.2563527816185693
"van’t Riet, J., Meeuwes, A. C., van der Voorden, L., & Jansz, J. (2018). Investigating the effects of a persuasive digital game on immersion, identification, and willingness to help. Basic and Applied Social Psychology, 40(4), 180-194.",0.19955110035485193
"van’t Riet, J., Meeuwes, A. C., van der Voorden, L., & Jansz, J. (2018). Investigating the effects of a persuasive digital game on immersion, identification, and willingness to help. Basic and Applied Social Psychology, 40(4), 180-194.",-0.3316786072999479
"van’t Riet, J., Meeuwes, A. C., van der Voorden, L., & Jansz, J. (2018). Investigating the effects of a persuasive digital game on immersion, identification, and willingness to help. Basic and Applied Social Psychology, 40(4), 180-194.",0.3138958419047349
"Roussos, G., & Dovidio, J. F. (2016). Playing below the poverty line: Investigating an online game as a way to reduce prejudice toward the poor. Cyberpsychology: Journal of Psychosocial Research on Cyberspace, 10(2).",0.5154639175257733
"Wright, J. C., Weissglass, D. E., & Casey, V. (2020). Imaginative Role-Playing as a Medium for Moral Development: Dungeons & Dragons Provides Moral Training. Journal of Humanistic Psychology, 60(1), 99-129.",1.1050147389203637
"Lobel, A. (2016). The Relation Between Gaming and the Development of Emotion Regulation Skills..",NA
"Parsons, S., & Karakosta, E. (2018). D7. 11-Validation Activities in Operating School Conditions.",-0.32254269291351556
"Parsons, S., & Karakosta, E. (2018). D7. 11-Validation Activities in Operating School Conditions.",0.22030948434605738
"Beene, J. N. (2015). The effect of cooperative gameplay on aggression and prosociality in violent video game play.",NA
"Beene, J. N. (2015). The effect of cooperative gameplay on aggression and prosociality in violent video game play.",-0.015621430855815273
"Najarian, K. M. (2016). The Persuasive Power of Video Game Narratives: Addressing Empathy and Attitudes toward People with Mental Illness.",0.20720227732093474
"Wu, Y. (2019). Promoting Behavioral Intentions to Defend Victims of Bullying among College Students with an Interactive Narrative Game.",NA
"Gordon, M. (2018). Powering Up: Games for Sexual Violence Prevention.",NA
"Smith, N. J. (2015). Does Video Game Content Matter? An Examination of Two Competing Ideas.",NA
"Toppe, T., Hardecker, S., & Haun, D. B. (2019). Playing a cooperative game promotes preschoolers’ sharing with third-parties, but not social inclusion. PloS one, 14(8), e0221092.",0.44201326059672996
"Toppe, T., Hardecker, S., & Haun, D. B. (2019). Playing a cooperative game promotes preschoolers’ sharing with third-parties, but not social inclusion. PloS one, 14(8), e0221092.",0.25007293500797945
"Toppe, T., Hardecker, S., & Haun, D. B. (2019). Playing a cooperative game promotes preschoolers’ sharing with third-parties, but not social inclusion. PloS one, 14(8), e0221092.",-0.25066234516130437
"Verheijen, G. P., Stoltz, S. E., van den Berg, Y. H., & Cillessen, A. H. (2019). The influence of competitive and cooperative video games on behavior during play and friendship quality in adolescence. Computers in Human Behavior, 91, 297-304.",0.0712039324756716
"Verheijen, G. P., Stoltz, S. E., van den Berg, Y. H., & Cillessen, A. H. (2019). The influence of competitive and cooperative video games on behavior during play and friendship quality in adolescence. Computers in Human Behavior, 91, 297-304.",0.023734644158557198
"Creighton, S., & Szymkowiak, A. (2014). The effects of cooperative and competitive games on classroom interaction frequencies. Procedia-Social and Behavioral Sciences, 140, 155-163.",0.5221468954338214
"Creighton, S., & Szymkowiak, A. (2014). The effects of cooperative and competitive games on classroom interaction frequencies. Procedia-Social and Behavioral Sciences, 140, 155-163.",0.8962218922001371
"Santiago, M. S. P. T. M., & Toppe, L. (2020). Effects of Cooperation and Competition on Preschoolers' Prosociality Toward Third-Parties.",0.04906666244742163
"Santiago, M. S. P. T. M., & Toppe, L. (2020). Effects of Cooperation and Competition on Preschoolers' Prosociality Toward Third-Parties.",0.024992191160204756
